,starts,ends
0,129.004,161.87
1,210.168,226.393
2,251.543,255.839
3,265.307,269.853
4,283.533,286.286
5,301.801,304.596
6,312.395,316.274
7,322.03,329.829
8,423.673,436.853
9,440.69,447.781
10,461.461,472.847
11,478.812,489.823
12,564.856,570.111
13,585.585,628.127
14,658.658,666.541
15,712.795,762.595
16,796.587,807.098
17,857.732,864.864
18,872.163,878.336
19,909.742,922.296
20,934.225,938.646
21,1070.653,1086.335
22,1167.249,1182.932
23,1578.66,1596.094
24,1605.938,1629.711
25,1702.492,1707.122
26,1775.399,1790.622
27,1874.539,1879.252
28,2166.373,2182.514
29,2234.065,2240.238
30,2255.42,2260.467
31,2354.936,2357.647
32,2371.16,2376.749
33,2379.544,2383.631
34,2386.676,2428.217
35,2515.138,2522.729
36,2537.243,2546.961
37,2621.452,2627.291
38,2692.106,2709.624
39,2716.422,2717.048
