progress,content,ctime,midHash,weight,idStr
0.256,如果发弹幕在简易点就好了 每次发弹幕都要暂停,1498482572,d6815318,0,3494622608
0.732,2017.07.20,1500562240,586653a2,0,3583701608
0.96,超级棒,1544543771,3155779f,0,9123448091574274
1.556,希望大家不要对我做出任何想法 和评论，看着觉得很奇怪，至于看起来像争吵的红白字幕，我表示毫不知情。然后也因为麻烦很快就放弃了（摊手）,1532088420,ecffc78,0,2593257172762624
1.741,7,1521905454,c4e75c28,0,4410346726
2.199,今天重刷的时候发现了自己高三假期时候无聊做的字幕（白的），只是 因为 无聊,1532088246,ecffc78,0,2593165875347456
2.218,不暂停，等你发完弹幕，事都演过去了,1533388347,7d319c80,0,3274793324904452
4.099,汇文大军路过,1519213109,f9fc701,0,4328094903
4.106,灵活的胖子,1497002761,1aaf35a1,0,3443520209
4.371,没有啊,1496818983,d177aa82,0,3437957950
4.459,看不到我发的弹幕了,1544543879,3155779f,0,9123504705765376
4.539,请收下我的膝盖,1524113815,a158bdb,0,4470984581
4.588, 红色弹幕君开始施工！因为是第一次做所以会很慢还会有错大家多多包涵！,1501232481,a983f710,0,3616686164
5.198,手机裂了,1548928794,5eca247a,0,11422462934777860
5.376,g g,1509533265,78e812b,0,3934273152
5.72,好看,1544543706,3155779f,0,9123413996077056
5.805,yeah,1555214691,6489442a,0,14718083684892674
5.822,哈哈哈,1510860437,ad1c4490,0,3968832225
6.087,hi,1547896899,45df88b0,0,10881453091979330
6.798,哇哈哈,1531651688,554af7c4,0,2364284077604864
6.978,用电脑看就不用暂停,1547436811,b494aade,0,10640234228744192
6.979,请大家把底部弹幕屏蔽。不然这视频没法看。,1546270818,e301177f,0,10028918046195716
7.3,666666,1527518394,cb626e7d,0,197247146917890
7.358,我重复看了三遍,1544535195,8d8936ab,0,9118952194048000
7.959,是么,1547118429,71ccd201,0,10473310505664514
8.06,666666,1512910124,83c84c61,0,4027629942
8.116,6666666,1506746784,24786f2e,0,3846555274
8.119,16个小伙伴你们好,1518085382,5a8b2231,0,4276133847
8.501,换色表白字幕君,1513406023,8a2caa81,0,4039152929
8.748,biu,1512270805,9290ef33,0,4009594426
8.846,hhhhh,1509415134,cb77edcc,0,3931702411
9.045,表白字幕君,1507129839,2eefc0ac,0,3862385351
9.363,表示生物课有的时候会看这个,1512127988,7a211d5,0,4004983011
9.838,额鹅鹅鹅,1499735376,3093a581,0,3545082109
10.259,你的屏幕裂了,1504748198,7ba630fd,0,3793254504
10.325,谢谢字幕菌,1558968987,b5f3489e,0,16686415873572868
10.439,对不起我要关弹幕了,1524113827,a158bdb,0,4470985023
10.56,哈哈哈哈,1555254395,620a14e7,0,14738899741966336
10.68,求野生字幕菌,1525091577,a8e2a04b,0,4499977819
11.349,红色字幕君加油,1502904935,1410e6fd,0,3707109465
11.434,肯定还有喜马拉雅,1505689579,64aeb6e1,0,3820351993
11.622,QAQ画质感人,1524193426,ab78b54c,0,4472847902
11.997,迷上bbc,1526191535,1fa76fbc,0,4533851668
12.037,前方高能预警,1547181539,6384536d,0,10506398355423234
12.173,暂停什么鬼,1502443622,95f8d20,0,3681355232
12.249,66666666,1535014111,1f726dc7,0,4127161638715392
12.659,哈哈,1514386932,448bdf67,0,4064718071
