progress,content,ctime,midHash,weight,idStr
0.0,大林看到我了嘛,1581172262,c57a0d4f,0,28327326476926980
0.0,美啊,1583327184,4ac75614,0,29457126410682371
0.0,，，，,1584102059,297c516,0,29863384149131269
0.0,来学习来了,1597983971,2ff4a7b1,0,37141503625134085
0.0,燕山大学外国语学院前来报道！,1614223110,c7526371,0,45655489570144263
0.259,建议屏蔽老师，作业，寒假(谁在乎你从哪来的),1609825485,d1b26dc6,0,43349867379032069
0.398,诸君且看且珍惜,1583343627,df16d24,0,29465747172884483
0.409,酷炫的开头,1581095054,26280c4d,0,28286847360172032
0.44,棠中地理组建议观看,1611897284,d8feabe0,0,44436086916120581
0.466,刷学校的小鬼爬,1581946466,e14fe12c,0,28733232368320514
0.83,连孝文鸡脖,1584077291,cd8adb33,0,29850398450778119
1.155,我来完成地理作业了,1611924680,a4130dd4,0,44450450385666053
1.323,网飞爸爸呈现,1586032130,b1277d48,0,30875296883277829
1.392,很火的一部科普纪录片,1585814215,d816477a,0,30761046765469699
1.419,关弹幕！！！！！！！！！！！,1587618292,ff230a6c,0,31706902721724423
1.454,如果你想好好欣赏纪录片，那就把弹幕关掉,1581604790,5e7bf98d,0,28554095610560516
1.463,这是用外形神似动物的摄像机拍摄的,1577804182,f7bc71ac,0,26561482571382848
1.599,建议关弹幕观看,1594155278,bafd81ec,0,35134165790752771
1.6,有人吗,1572475498,9b97b12,0,23767717687853060
1.747,很火的一个科普纪录片,1585814113,d816477a,0,30760993492566019
1.877,大林我来了,1581172211,c57a0d4f,0,28327299790143490
2.087,注意弹幕礼仪，请不要刷学校,1587811789,bf05a273,0,31808350798741509
2.36,深外观光团,1587877086,21dffdad,0,31842585216024581
2.389,建议关弹幕,1589017964,727efffa,0,32440733872422915
3.425,处弹幕，献给我们的星球,1582334497,8c037658,0,28936672454377472
3.613,哈哈哈哈,1583409504,4145cb40,0,29500285405102085
3.692,菏泽外国语报告。,1580541127,5a2a41e3,0,27996429966901250
