,starts,ends
0,98.015,111.48599999999999
1,226.393,230.939
2,239.322,255.839
3,307.14,309.434
4,329.829,339.839
5,440.69,447.781
6,463.046,465.757
7,466.466,469.636
8,650.316,658.658
9,762.595,769.31
10,953.9110000000001,1003.419
11,1031.656,1049.173
12,1086.335,1117.658
13,1182.932,1189.438
14,1211.627,1216.632
15,1248.289,1269.727
16,1683.765,1692.983
17,2255.42,2260.467
18,2275.064,2284.157
19,2314.854,2334.374
20,2376.749,2383.631
21,2392.557,2396.686
22,2420.335,2502.125
23,2503.96,2515.179
24,2537.243,2546.961
25,2597.97,2617.156
26,2709.624,2716.422
27,2742.239,2765.346
28,2769.892,2781.404
29,2799.672,2871.535
